Categories,India/States/UTs,NFHS III (2005-06) Total unmet need-Total,NFHS III (2005-06) Total unmet need-Rural,NFHS III (2005-06) Total unmet need-Urban,NFHS III (2005-06) Unmet need for spacing-Total,NFHS III (2005-06) Unmet need for spacing-Rural,NFHS III (2005-06) Unmet need for spacing-Urban,NFHS III (2005-06) Unmet need for limiting-Total,NFHS III (2005-06) Unmet need for limiting-Rural,NFHS III (2005-06) Unmet need for limiting-Urban
All India,India,12.8,14.1,9.7,6.2,6.9,4.5,6.6,7.2,5.2
MAJOR STATES (Population > 20 million),Andhra Pradesh,4.7,4.2,5.8,3,2.8,3.3,1.7,1.3,2.5
2,Assam,10.5,11.5,6.1,3.5,3.9,1.5,7.1,7.6,4.6
3,Bihar,22.8,23.8,16.7,10.7,11.5,5.8,12.1,12.3,11
4,Chattisgarh,10.1,10.3,9.2,5.3,5.4,4.9,4.8,4.9,4.3
5,Gujarat,8,7.9,8.2,4.3,4.6,3.9,3.7,3.2,4.4
6,Haryana,8.3,8.9,6.9,3.1,3.6,2,5.2,5.3,4.9
7,Jharkhand,23.1,26.2,13.4,11.3,13,5.7,11.9,13.2,7.6
8,Karnataka,9.6,9.4,9.9,6,6.6,5.1,3.6,2.8,4.8
9,Kerala,8.9,9.4,7.9,6,6.5,5,2.9,2.9,2.9
10,Madhya Pradesh,11.3,11.5,10.8,5.4,5.6,4.8,5.9,5.8,6.1
11,Maharashtra,9.4,9,9.8,5.4,5.6,5.3,3.9,3.3,4.5
12,Odisha,14.9,15.4,12.5,6.8,7,5.6,8.1,8.3,6.9
13,Punjab,7.3,7.3,7.4,2.6,2.8,2.4,4.7,4.5,5
14,Rajasthan,14.6,16.3,9.8,7.3,8,5.2,7.3,8.3,4.6
15,Tamil Nadu,8.5,8.7,8.4,4,3.7,4.3,4.5,4.9,4.1
16,Uttar Pradesh,21.2,23.1,15.1,9.1,10.1,5.8,12.1,13,9.3
17,West Bengal,8,9,5.7,4,4.6,2.4,4,4.3,3.3
SMALLER STATES,Arunachal Pradesh,18.8,18.9,18.6,8.3,7.5,10.1,10.6,11.4,8.5
2,Delhi,7.8,15.3,7.2,3.3,5.6,3.1,4.5,9.6,4.1
3,Goa,13.1,14.6,12,7.4,8.3,6.7,5.7,6.2,5.3
4,Himachal Pradesh,7.2,7.2,7.2,2.4,2.4,2.2,4.9,4.8,5
5,Jammu and Kashmir,14.5,17.4,7.3,5.8,7.2,2.5,8.7,10.2,4.8
6,Manipur,12.4,12.6,11.9,5,4.5,5.9,7.4,8.1,6
7,Meghalaya,35,39.7,19.6,23.2,26.4,12.7,11.8,13.3,6.8
8,Mizoram,17.3,21.4,13.8,12.3,14.8,10.1,5,6.6,3.7
9,Nagaland,26.1,28.5,20.2,10,10.9,7.8,16.1,17.6,12.4
10,Sikkim,16.9,17.5,14.2,5.6,5.6,5.8,11.2,11.9,8.3
11,Tripura,10.3,10.7,8.1,3.8,3.8,3.4,6.5,6.9,4.7
12,Uttarakhand,10.8,11.2,9.8,4.4,4.8,3.2,6.5,6.4,6.6
